middleschool,variable.x,est,se,pct,pctse
Clarke,medbill_worry1,5933.235288,432.3431505,0.416852671,0.030137866
Coile,medbill_worry1,2220.139228,169.9467003,0.390427798,0.029510412
Hilsman,medbill_worry1,5535.933757,359.4737458,0.423174252,0.027215248
BHL,medbill_worry2,1432.847425,175.857969,0.185562648,0.022670816
Clarke,medbill_worry2,1870.81952,274.3807624,0.131438596,0.019253253
Coile,medbill_worry2,1564.698669,152.3184869,0.275163759,0.026604358
Hilsman,medbill_worry2,2519.224908,285.4258996,0.192572954,0.021735018
BHL,hh_finance0,1118.563581,164.902452,0.144296216,0.021175988
Clarke,hh_finance0,2077.29683,300.1294551,0.145856479,0.021038561
Coile,hh_finance0,945.1047462,128.8110314,0.164683128,0.022387019
