middleschool,variable.x,pct,pctse
BHL,transport1,0.966202155,0.010464837
Clarke,transport1,0.943789178,0.009911564
Coile,transport1,0.917100675,0.015934103
Hilsman,transport1,0.935054768,0.013009323
BHL,transport2,0.007237359,0.004460494
Clarke,transport2,0.019953154,0.00523789
Coile,transport2,0.029762832,0.008135804
Hilsman,transport2,0.033262215,0.009216953
BHL,transport3,0.006218857,0.004446681
Clarke,transport3,0.010599877,0.004843688
Coile,transport3,0.018468268,0.009173537
Hilsman,transport3,0.015839533,0.007089469
BHL,transport4,0.020050629,0.008478864
Clarke,transport4,0.02396704,0.007340675
Coile,transport4,0.023938942,0.010040035
Hilsman,transport4,0.009975651,0.004960871
BHL,transport5,2.91E-04,2.04E-04
Clarke,transport5,0.001690751,0.001182912
Coile,transport5,0.004087688,0.003535295
Hilsman,transport5,0.005867833,0.003971813
BHL,transport9,0,0
Clarke,transport9,0,0
Coile,transport9,0.006641595,0.001819895
Hilsman,transport9,0,0
BHL,moved0,0.743310561,0.026456168
Clarke,moved0,0.739265391,0.026239211
Coile,moved0,0.594567522,0.029543714
Hilsman,moved0,0.682045853,0.025639142
BHL,moved1,0.166436424,0.022584378
Clarke,moved1,0.183452182,0.022962389
Coile,moved1,0.265255067,0.02664828
Hilsman,moved1,0.20558576,0.022074773
BHL,moved2,0.051730137,0.013305225
Clarke,moved2,0.0518116,0.012560409
Coile,moved2,0.072879094,0.016126481
Hilsman,moved2,0.082764311,0.015444334
BHL,moved3,0.038522877,0.01161009
Clarke,moved3,0.025470827,0.010009349
Coile,moved3,0.067298316,0.016350107
Hilsman,moved3,0.029604076,0.009291975
BHL,acc_child0,0.343222905,0.041790092
Clarke,acc_child0,0.367470752,0.039935757
Coile,acc_child0,0.405024702,0.038913008
Hilsman,acc_child0,0.492680856,0.040653287
BHL,acc_child1,0.537814068,0.044654915
Clarke,acc_child1,0.564283081,0.041658282
Coile,acc_child1,0.529204155,0.038879985
Hilsman,acc_child1,0.414705949,0.039615724
BHL,acc_child2,0.118963027,0.029577791
Clarke,acc_child2,0.068246167,0.021519346
Coile,acc_child2,0.065771143,0.018478042
Hilsman,acc_child2,0.092613195,0.024751571
BHL,vote_location0,0.195637443,0.02335814
Clarke,vote_location0,0.153236575,0.021080397
Coile,vote_location0,0.336172937,0.028176255
Hilsman,vote_location0,0.199218642,0.021759596
BHL,vote_location1,0.804362557,0.02335814
Clarke,vote_location1,0.846763425,0.021080397
Coile,vote_location1,0.663827063,0.028176255
Hilsman,vote_location1,0.800781358,0.021759596
BHL,register_vote0,0.106174657,0.017624605
Clarke,register_vote0,0.069995251,0.014841101
Coile,register_vote0,0.185009428,0.022087776
Hilsman,register_vote0,0.094701011,0.015789444
BHL,register_vote1,0.893825343,0.017624605
Clarke,register_vote1,0.930004749,0.014841101
Coile,register_vote1,0.814990572,0.022087776
Hilsman,register_vote1,0.905298989,0.015789444
BHL,atten_govt0,0.02618307,0.009354378
Clarke,atten_govt0,0.004483139,0.002706099
Coile,atten_govt0,0.022939219,0.008696437
Hilsman,atten_govt0,0.022077737,0.007773864
BHL,atten_govt1,0.129565393,0.020568702
Clarke,atten_govt1,0.115713617,0.0193098
Coile,atten_govt1,0.2262871,0.025160241
Hilsman,atten_govt1,0.10713537,0.016513941
BHL,atten_govt2,0.110611637,0.018579848
Clarke,atten_govt2,0.128364204,0.020640825
Coile,atten_govt2,0.147830255,0.021971219
Hilsman,atten_govt2,0.111503043,0.017441884
BHL,atten_govt3,0.381175796,0.02940982
Clarke,atten_govt3,0.395598037,0.030204443
Coile,atten_govt3,0.337211252,0.028554773
Hilsman,atten_govt3,0.420103354,0.027186283
BHL,atten_govt4,0.352464105,0.029205275
Clarke,atten_govt4,0.355841003,0.029337356
Coile,atten_govt4,0.265732174,0.026125988
Hilsman,atten_govt4,0.339180497,0.025979775
BHL,vote_year0,0.299789582,0.027763172
Clarke,vote_year0,0.220459162,0.025258223
Coile,vote_year0,0.358784245,0.028948439
Hilsman,vote_year0,0.255614358,0.023612012
BHL,vote_year1,0.700210418,0.027763172
Clarke,vote_year1,0.779540838,0.025258223
Coile,vote_year1,0.641215755,0.028948439
Hilsman,vote_year1,0.744385642,0.023612012
BHL,petition_year0,0.624003358,0.030546368
Clarke,petition_year0,0.536133639,0.031373512
Coile,petition_year0,0.680691212,0.029287883
Hilsman,petition_year0,0.559886863,0.028353753
BHL,petition_year1,0.375996642,0.030546368
Clarke,petition_year1,0.463866361,0.031373512
Coile,petition_year1,0.319308788,0.029287883
Hilsman,petition_year1,0.440113137,0.028353753
BHL,corr_year0,0.715633553,0.028268043
Clarke,corr_year0,0.663002824,0.030570733
Coile,corr_year0,0.834531482,0.023472306
Hilsman,corr_year0,0.761732904,0.02446307
BHL,corr_year1,0.284366447,0.028268043
Clarke,corr_year1,0.336997176,0.030570733
Coile,corr_year1,0.165468518,0.023472306
Hilsman,corr_year1,0.238267096,0.02446307
BHL,volunteer_year0,0.425781663,0.029708528
