middleschool,variable.x,est,se
Hilsman,wic10,0,0
BHLyons,snap0,6661.368700999999,178.0900118341361
Clarke,snap0,12689.2418954,265.5023525848879
Coile,snap0,4742.2884754,122.67155139268202
Hilsman,snap0,11502.4662264,236.2932012033795
BHLyons,snap1,721.331901,132.2177235773464
Clarke,snap1,903.7327293999999,133.19434835600936
Coile,snap1,687.924416,80.47562489669173
Hilsman,snap1,907.0299943,149.69665510298333
BHLyons,sec80,7141.238912,152.28768585892158
Clarke,sec80,13422.6174288,238.1825226599536
Coile,sec80,5294.8632634000005,105.73148889100517
Hilsman,sec80,12280.828042000001,200.56949859331476
BHLyons,sec81,241.46169,82.282464694649
Clarke,sec81,170.357196,38.89849191661267
Coile,sec81,135.349628,38.9547026643179
Hilsman,sec81,128.6681787,47.976938492250746
BHLyons,nowelfareben0,1373.758483,177.92393282082708
Clarke,nowelfareben0,1556.1004154,198.9365210708129
Coile,nowelfareben0,1303.7800782,117.87666804666483
Hilsman,nowelfareben0,2063.3739073,236.07330287429403
BHLyons,nowelfareben1,6008.942118999999,207.07827525717636
Clarke,nowelfareben1,12036.8742094,298.05888735187744
Coile,nowelfareben1,4126.4328132,143.1935684852449
Hilsman,nowelfareben1,10346.122313400001,284.8067027445527
BHLyons,checking0,193.904858,70.945934598281
Clarke,checking0,239.51433839999999,53.75785045044741
Coile,checking0,200.6937758,44.41379692746227
Hilsman,checking0,327.8576261,89.73488371007241
BHLyons,checking1,6967.822338999999,160.46467589282653
Clarke,checking1,13602.118765000001,163.80006188957464
Coile,checking1,4912.9371172,99.17965977763278
Hilsman,checking1,12063.7461211,199.39139440036757
BHLyons,savings0,2198.297895,210.58439059867231
Clarke,savings0,3142.8709868,352.60539440146135
Coile,savings0,1532.731947,149.43649230572922
Hilsman,savings0,2912.4672137000002,293.7094191390854
BHLyons,savings1,4963.429302,230.41259763568868
Clarke,savings1,10698.7621166,372.0740493021323
Coile,savings1,3580.8989460000003,159.10731706881182
Hilsman,savings1,9479.136533500001,318.583911072034
BHLyons,medbill_worry0,2907.001784,233.61830788193427
Clarke,medbill_worry0,6429.35594,436.9564408798
Coile,medbill_worry0,1901.5892488,164.27386125060383
Hilsman,medbill_worry0,5026.766159,352.9794677936113
BHLyons,medbill_worry1,3381.7879,238.6483096549624
Clarke,medbill_worry1,5933.2352878,432.3431505209387
Coile,medbill_worry1,2220.1392282,169.9467002584468
Hilsman,medbill_worry1,5535.9337571,359.47374582254673
BHLyons,medbill_worry2,1432.847425,175.8579689861618
Clarke,medbill_worry2,1870.8195196000001,274.380762381841
Coile,medbill_worry2,1564.6986692,152.31848688646951
Hilsman,medbill_worry2,2519.2249077,285.42589955624413
BHLyons,hh_finance0,1118.5635809999999,164.90245203131056
Clarke,hh_finance0,2077.2968304,300.12945511603283
Coile,hh_finance0,945.1047462,128.81103135341164
Hilsman,hh_finance0,2105.6555752,262.62563644583264
BHLyons,hh_finance1,4134.999092,242.6049337110369
Clarke,hh_finance1,6298.7592514,434.8926260149214
Coile,hh_finance1,2608.9249622,171.20243166982388
Hilsman,hh_finance1,5821.9729609000005,361.8966460981545
BHLyons,hh_finance2,2498.293949,222.3592989940302
Clarke,hh_finance2,5866.0046652,436.25244837077616
Coile,hh_finance2,2184.8990852,169.2390359419504
Hilsman,hh_finance2,5139.1247678,356.1034933388515
BHLyons,internetuse0,630.148751,126.91353992772223
Clarke,internetuse0,650.0380481999999,104.64577894867736
Coile,internetuse0,623.0323122,89.61361759156405
Hilsman,internetuse0,804.6768622000001,154.66142867528347
BHLyons,internetuse1,7197.34365,147.7724558337301
Clarke,internetuse1,13599.8544076,160.20028521931502
Coile,internetuse1,5117.7813664000005,104.90749818229307
Hilsman,internetuse1,12308.2556013,188.1172121580856
BHLyons,internetsource1,471.998149,111.63175003212386
Clarke,internetsource1,726.921251,170.54404951396077
Coile,internetsource1,537.2609886,80.91558934581535
